id,section_name,web_url,pub_date,headline,trail_text,period,happiness
world/2013/jun/05/national-security-caucus-unrest-election,World news,https://www.theguardian.com/world/2013/jun/05/national-security-caucus-unrest-election,2013-06-04T23:15:00Z,Politics as it happened,"<p>The Coalition campaigns on national security, Kevin Rudd advises MPs to pull their heads in</p>",2010-2013,5.318523905048479
politics/audio/2013/sep/03/australian-politics-weekly-podcast-polling-day,Politics,https://www.theguardian.com/politics/audio/2013/sep/03/australian-politics-weekly-podcast-polling-day,2013-09-03T22:31:25Z,Australian Politics Weekly podcast: polling day beckons,<p>Political editor Lenore Taylor and press gallery veterans Michelle Grattan and Malcolm Farr join Katharine Murphy to discuss this week's news from the Australian election campaign</p>,2010-2013,5.4523636363636365
politics/blog/2013/dec/10/treasury-questions-politics-live-blog,Politics,https://www.theguardian.com/politics/blog/2013/dec/10/treasury-questions-politics-live-blog,2013-12-10T16:59:33Z,Iain Duncan Smith's Commons statement on universal credit:  Politics live blog,"<strong>Andrew Sparrow</strong>'s rolling coverage of all the day's political developments as they happen, including Treasury questions in the Commons.",2010-2013,5.3140692503176625
politics/2013/sep/23/labour-conference-ed-balls-speech-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/sep/23/labour-conference-ed-balls-speech-politics-live-blog,2013-09-23T18:05:59Z,Labour conference - Ed Balls's speech: Politics live blog,"<strong>Andrew Sparrow</strong>'s rolling coverage of the Labour conference in Brighton, including Ed Balls' speech",2010-2013,5.355175547294506
world/2013/sep/22/marks-and-spencer-gender-quilts,World news,https://www.theguardian.com/world/2013/sep/22/marks-and-spencer-gender-quilts,2013-09-22T19:59:00Z,M&S and the gender politics of quilts,"<strong>Letters:</strong> In my experience, infant girls go for pink and frilly, and boys pick gun and dinosaur patterns. Sorry",2010-2013,5.564215686274511
politics/2013/may/29/politics-security-spies-election-cash,World news,https://www.theguardian.com/politics/2013/may/29/politics-security-spies-election-cash,2013-05-29T08:11:00Z,Politics as it happened,<p>MPs bicker over national security and public funding</p>,2010-2013,5.357822609960015
politics/2013/dec/02/energy-bills-plan-announced-and-cameron-in-china-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/dec/02/energy-bills-plan-announced-and-cameron-in-china-politics-live-blog,2013-12-02T16:26:05Z,Energy bills plan announced and Cameron in China: Politics live blog,"<strong>Andrew Sparrow</strong>'s rolling coverage of all the day's political developments as they happen, including the full details of the government's plans to cut energy bills, energy firms announcing cuts in response, and David Cameron in China",2010-2013,5.337568370057821
world/2013/jun/02/asbestos-457s-republic,World news,https://www.theguardian.com/world/2013/jun/02/asbestos-457s-republic,2013-06-02T22:59:00Z,Politics as it happened,<p>Crisis talks after reports of exposure to asbestos in the NBN rollout</p>,2010-2013,5.357378545352429
commentisfree/belief/2013/oct/21/archbishop-duchess-poverty-camilla-justin-welby,Opinion,https://www.theguardian.com/commentisfree/belief/2013/oct/21/archbishop-duchess-poverty-camilla-justin-welby,2013-10-21T13:00:00Z,"The archbishop, the duchess and the politics of poverty","<strong>Andrew Brown: </strong>By recruiting Camilla to his credit unions cause, Justin Welby is returning to an old idea that the aristocracy should help directly",2010-2013,5.32195211786372
world/2013/nov/14/rudd-quits-parliament-debt-live,Australia news,https://www.theguardian.com/world/2013/nov/14/rudd-quits-parliament-debt-live,2013-11-14T06:44:38Z,Politics as it happened - Rudd quits as parliament marches on,Kevin Rudd quits politics drawing warm tributes as parliament carries on as the Treasurer warns of a US-style debt default over Labor's refusal to agree to a $500bn debt limit.,2010-2013,5.314130320546506
world/2013/jun/04/polls-asebestos-nbn,World news,https://www.theguardian.com/world/2013/jun/04/polls-asebestos-nbn,2013-06-03T23:07:00Z,Politics as it happened,<p>Toxic opinion polls and continuing fall-out from the NBN</p>,2010-2013,5.33925777331996
politics/blog/2013/aug/30/politics-live-readers-edition,Politics,https://www.theguardian.com/politics/blog/2013/aug/30/politics-live-readers-edition,2013-08-30T09:19:00Z,Politics live: readers' edition - Friday 30 August,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.53812865497076
world/2013/dec/23/delhi-chief-security-corruption-arvind-kejriwal-india-politics,World news,https://www.theguardian.com/world/2013/dec/23/delhi-chief-security-corruption-arvind-kejriwal-india-politics,2013-12-23T17:11:09Z,Delhi's new chief rejects security on mission to clean up Indian politics,"Arvind Kejriwal, whose party is made up of all first-time candidates, vows to fight corruption after shock results at polls",2010-2013,5.306475409836065
commentisfree/2013/oct/14/keep-religion-out-politics,Opinion,https://www.theguardian.com/commentisfree/2013/oct/14/keep-religion-out-politics,2013-10-14T16:43:16Z,"Oh Lord, can't we keep religion out of politics?",<p><strong>Teresa Wiltz:</strong> America's founders insisted on church-state separation. Yet now we have senators and justices prattling about the devil. Save us</p>,2010-2013,5.357971428571428
politics/2013/sep/24/labour-conference-ed-milibands-speech-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/sep/24/labour-conference-ed-milibands-speech-politics-live-blog,2013-09-24T17:54:38Z,Labour conference - Ed Miliband's speech: Politics live blog,"<strong>Andrew Sparrow</strong>'s rolling coverage of the Labour conference in Brighton, including Ed Miliband's speech",2010-2013,5.369189353612167
politics/audio/2013/nov/07/politics-weekly-podcast-cost-of-living-crisis,Politics,https://www.theguardian.com/politics/audio/2013/nov/07/politics-weekly-podcast-cost-of-living-crisis,2013-11-07T16:20:00Z,Politics Weekly podcast: coalition Britain - a great place to live?,"<p>Heather Stewart, Andrew Gimson and Toby Helm join Tom Clark to discuss an OECD report which ranked Britain as among the world's best places to live and work. Plus: Ed Miliband's living wage pledge; and Lynton Crosby gears up for a no-nonsense Tory election campaign</p>",2010-2013,5.321428571428571
politics/blog/2013/aug/28/politics-live-readers-edition-wednesday-28-august,Politics,https://www.theguardian.com/politics/blog/2013/aug/28/politics-live-readers-edition-wednesday-28-august,2013-08-28T08:00:04Z,Politics live: readers' edition - Wednesday 28 August,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.53812865497076
world/2013/jun/28/kevin-rudd-labor-ministry,World news,https://www.theguardian.com/world/2013/jun/28/kevin-rudd-labor-ministry,2013-06-28T00:03:00Z,Politics as it happened - Kevin Rudd says yes to Gonski - politics live blog,<p>The new Prime Minister moves forward as the 43rd parliament completes its business</p>,2010-2013,5.387377972465583
world/iran-blog/2013/sep/24/iran-united-nations-survey-politics-gender-equality,World news,https://www.theguardian.com/world/iran-blog/2013/sep/24/iran-united-nations-survey-politics-gender-equality,2013-09-24T13:16:21Z,"Iranians preoccupied with politics, United Nations survey shows","<p>Preliminary results suggest an emphasis on 'honest government', 'political freedoms' and 'gender equality'</p>",2010-2013,5.383381642512077
politics/2013/nov/28/reaction-to-the-cigarette-packaging-u-turn-and-nick-cleggs-lbc-phone-in-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/nov/28/reaction-to-the-cigarette-packaging-u-turn-and-nick-cleggs-lbc-phone-in-politics-live-blog,2013-11-28T16:42:32Z,Clegg accuses Boris Johnson of 'fairly unpleasant elitism': Politics live blog,"<strong>Andrew Sparrow</strong>'s rolling coverage of all the day's political developments as they happen, including Nick Clegg hosting his Call Clegg LBC phone-in and reaction to the U-turn on plain packaging for cigarettes",2010-2013,5.337088869205787
politics/blog/2013/aug/27/politics-live-readers-edition-tueday-27-august,Politics,https://www.theguardian.com/politics/blog/2013/aug/27/politics-live-readers-edition-tueday-27-august,2013-08-27T08:04:17Z,Politics live: readers' edition - Tuesday 27 August,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.53812865497076
politics/2013/may/30/no-deal-election-cash-politics,World news,https://www.theguardian.com/politics/2013/may/30/no-deal-election-cash-politics,2013-05-29T23:12:00Z,Politics as it happened,<p>Revolt by MPs torpedos donations and public funding bill</p>,2010-2013,5.356431870669746
politics/blog/2013/aug/21/politics-live-readers-edition,Politics,https://www.theguardian.com/politics/blog/2013/aug/21/politics-live-readers-edition,2013-08-21T07:30:00Z,Politics live: readers' edition - Wednesday 21 August,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.532982456140352
politics/blog/2013/aug/19/politics-live-readers-edition,Politics,https://www.theguardian.com/politics/blog/2013/aug/19/politics-live-readers-edition,2013-08-19T09:53:12Z,Politics live: readers' edition - Monday 19 August,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.546432748538012
politics/blog/2013/aug/23/politics-live-readers-edition,Politics,https://www.theguardian.com/politics/blog/2013/aug/23/politics-live-readers-edition,2013-08-23T07:30:00Z,Politics live: readers' edition - Friday 23 August,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.53812865497076
world/2013/dec/02/viktor-yanukovych-ukraine-protests-orange,World news,https://www.theguardian.com/world/2013/dec/02/viktor-yanukovych-ukraine-protests-orange,2013-12-02T18:18:40Z,Viktor Yanukovych: can the great survivor of Ukraine politics hang on?,"The president weathered the Orange Revolution, but will need Moscow's support to survive this year's protests<br />· <a href=""http://www.theguardian.com/world/2013/dec/02/ukraine-protests-opposition-president"" title="""">It is time to go, opposition leaders tell president</a>",2010-2013,5.292300995024876
politics/2013/nov/08/jeremy-hunt-17m-hotcourses-sale-inflexion,Politics,https://www.theguardian.com/politics/2013/nov/08/jeremy-hunt-17m-hotcourses-sale-inflexion,2013-11-08T20:35:48Z,Jeremy Hunt could net £17m if pre-politics business sells,Hotcourses' sale to Inflexion would propel health secretary into the ranks of most successful entrepreneurs in the Commons,2010-2013,5.436422413793103
politics/blog/2013/aug/22/politics-live-readers-edition-thursday-22-may,Politics,https://www.theguardian.com/politics/blog/2013/aug/22/politics-live-readers-edition-thursday-22-may,2013-08-22T09:48:00Z,Politics live: readers' edition - Thursday 22 August,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.535321637426901
politics/2013/nov/04/david-cameron-and-ed-balls-speak-at-the-cbi-conference-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/nov/04/david-cameron-and-ed-balls-speak-at-the-cbi-conference-politics-live-blog,2013-11-04T17:47:21Z,Theresa May defends controls on terror suspects: Politics live blog,"Andrew Sparrow's rolling coverage of all the day's political developments as they happen, including David Cameron and Ed Balls giving speeches to the CBI's annual conference",2010-2013,5.321483168536829
politics/2013/sep/16/vince-cable-tories-ugly-politics,Politics,https://www.theguardian.com/politics/2013/sep/16/vince-cable-tories-ugly-politics,2013-09-16T13:33:52Z,"Vince Cable accuses Tories of cynical, ugly politics",<p>Business secretary tells Lib Dem conference that Conservatives have reverted to type as nasty party</p>,2010-2013,5.341746031746032
sustainable-business/video/meg-jones-business-skills-empower-women,Guardian Sustainable Business,https://www.theguardian.com/sustainable-business/video/meg-jones-business-skills-empower-women,2013-10-10T18:32:00Z,Meg Jones: business skills empower women for politics – video,<p>he International Trade Centre's Women and Trade programme manager spoke about integrating women in the business world</p>,2010-2013,
commentisfree/2013/oct/29/paul-keating-unknown-soldier,Opinion,https://www.theguardian.com/commentisfree/2013/oct/29/paul-keating-unknown-soldier,2013-10-29T06:29:33Z,"The Unknown Soldier, Paul Keating and the politics of remembrance","<strong>Paul Daley:</strong> Tony Abbott has insisted that the phrase 'Known unto God' remains on the tomb at the Australian War Memorial &ndash; and though this is a secular shrine, he's right",2010-2013,5.221544117647059
politics/blog/2013/aug/14/politics-live-readers-edition,Politics,https://www.theguardian.com/politics/blog/2013/aug/14/politics-live-readers-edition,2013-08-14T07:30:00Z,Politics live: readers' edition - Wednesday 14 August,"<p>Share breaking news, leave links to interesting articles online and chat about the week's political events in our open thread</p>",2010-2013,5.532982456140352
world/2013/sep/09/women-african-politics-vote-cameroon,World news,https://www.theguardian.com/world/2013/sep/09/women-african-politics-vote-cameroon,2013-09-09T16:40:00Z,Women in African politics: a vote of confidence,"<p>Women are increasingly challenging the traditional male monopoly of African politics. In Cameroon, campaigners have worked tirelessly to boost the chances of women standing in the country's pending elections</p>",2010-2013,5.442439961575408
politics/2013/nov/25/george-osbornes-interviews-and-payday-lending-cap-announcement-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/nov/25/george-osbornes-interviews-and-payday-lending-cap-announcement-politics-live-blog,2013-11-25T15:51:09Z,George Osborne's interviews and payday lending cap announcement: Politics live blog,"<strong>Andrew Sparrow</strong>'s rolling coverage of all the day's political developments as they happen, including George Osborne's morning interviews",2010-2013,5.321264445955133
politics/blog/2013/dec/12/george-osborne-questioned-by-treasury-committee-on-autumn-statement-politics-live-blog,Politics,https://www.theguardian.com/politics/blog/2013/dec/12/george-osborne-questioned-by-treasury-committee-on-autumn-statement-politics-live-blog,2013-12-12T16:21:50Z,George Osborne questioned by Treasury committee on autumn statement: Politics live blog,"<a href=""http://www.theguardian.com/politics/blog/2013/dec/12/george-osborne-questioned-by-treasury-committee-on-autumn-statement-politics-live-blog#block-52a9a510e4b00188da8857b0"">&bull; Osborne's evidence to the Commons Treasury committee - Summary<br /></a><a href=""http://www.theguardian.com/politics/blog/2013/dec/12/george-osborne-questioned-by-treasury-committee-on-autumn-statement-politics-live-blog#block-52a9ba4be4b077f3c8929273"">&bull;&nbsp;Lunchtime summary</a><br /><a href=""http://www.theguardian.com/politics/blog/2013/dec/12/george-osborne-questioned-by-treasury-committee-on-autumn-statement-politics-live-blog#block-52a9dd78e4b077f3c8929279"">&bull; Afternoon summary</a>",2010-2013,5.333982398239824
politics/blog/2013/aug/20/politics-live-readers-edition,Politics,https://www.theguardian.com/politics/blog/2013/aug/20/politics-live-readers-edition,2013-08-20T07:30:00Z,Politics live: readers' edition - Tuesday 20 August,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.529005847953217
commentisfree/2013/nov/01/ukip-british-political-compass-authoritarian-right,Opinion,https://www.theguardian.com/commentisfree/2013/nov/01/ukip-british-political-compass-authoritarian-right,2013-11-01T13:18:38Z,Ukip has chanced upon the neglected part of British politics,<strong>Alex Andreou:</strong> To understand the appeal of Ukip it helps to think about the four quadrants of the political compass. Who else covers the authoritarian right?,2010-2013,5.328314238952537
world/2013/nov/18/tony-abbott-parliament-chogm,Australia news,https://www.theguardian.com/world/2013/nov/18/tony-abbott-parliament-chogm,2013-11-18T07:25:31Z,Politics as it happened - Tony Abbott returns to the parliamentary fray,The prime minister is back from Chogm for the second sitting week in parliament dominated by debt and carbon tax,2010-2013,5.317150618774525
science/political-science/2013/jul/19/science-policy,Science,https://www.theguardian.com/science/political-science/2013/jul/19/science-policy,2013-07-19T08:37:39Z,Demos and the politics of science,<p><strong>James Wilsdon:</strong> The think tank Demos is 20 years old this week. What contribution has it made to science policy?</p>,2010-2013,5.444071661237785
politics/2013/sep/30/conservative-conference-george-osbornes-work-for-benefits-speech-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/sep/30/conservative-conference-george-osbornes-work-for-benefits-speech-politics-live-blog,2013-09-30T17:53:51Z,Boris Johnson speaks to Conservative conference – politics live blog,"<strong>Andrew Sparrow</strong>'s rolling coverage of the Conservative conference in Manchester, including George Osborne announcing his 'work for benefits' plan in his speech, and Ukip's Nigel Farage speaking on the fringe",2010-2013,5.33845137342242
politics/blog/2013/aug/15/1,Politics,https://www.theguardian.com/politics/blog/2013/aug/15/1,2013-08-15T07:30:00Z,Politics live: readers' edition - Thursday 15 August,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.535321637426901
politics/blog/2013/aug/16/1,Politics,https://www.theguardian.com/politics/blog/2013/aug/16/1,2013-08-16T07:30:00Z,Politics live: readers' edition - Friday 16 August,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.53812865497076
uk-news/2013/nov/24/michael-gove-defying-eu-migrants-practical-politics,UK news,https://www.theguardian.com/uk-news/2013/nov/24/michael-gove-defying-eu-migrants-practical-politics,2013-11-24T13:43:46Z,Michael Gove: defying EU on new migrants is just practical politics,Education secretary backs extending period Bulgarians and Romanians must reside in UK before claiming benefits,2010-2013,5.373983516483516
politics/2013/aug/09/politics-live-readers-edition-friday-9-august,Politics,https://www.theguardian.com/politics/2013/aug/09/politics-live-readers-edition-friday-9-august,2013-08-09T07:45:00Z,Politics live: readers' edition - Friday 9 August,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.529005847953217
politics/2013/sep/04/cameron-and-miliband-at-pmqs-politics-live-blog,Politics,https://www.theguardian.com/politics/2013/sep/04/cameron-and-miliband-at-pmqs-politics-live-blog,2013-09-04T15:01:18Z,Cameron and Miliband at PMQs: Politics live blog,"Rolling coverage of all the day's political developments as they happen, including David Cameron and Ed Miliband at PMQs.",2010-2013,5.30554074992253
commentisfree/2013/sep/09/tony-abbott-election-victory-labor,Opinion,https://www.theguardian.com/commentisfree/2013/sep/09/tony-abbott-election-victory-labor,2013-09-09T19:00:01Z,Tony Abbott's election victory and Labor's braindead politics,"<p><strong>Aditya Chakrabortty:</strong> Australia's economy is an enviable state, yet Abbott pummelled the Labor party to its heaviest defeat in a century. How?</p>",2010-2013,5.33423645320197
politics/blog/2013/jun/17/g8-summit-lough-erne-cameron,Politics,https://www.theguardian.com/politics/blog/2013/jun/17/g8-summit-lough-erne-cameron,2013-06-17T17:53:00Z,G8 summit: Politics live blog,"<p>• Obama and Putin prepare for crunch talks on Syria<br />• Turkey summons UK ambassador over <a href=""http://www.theguardian.com/world/2013/jun/17/turkey-russia-g20-spying-gchq"">Guardian revelations</a><br />• Obama hails NI peace process as blueprint for peace<br />• Cameron welcomes US-EU trade talks<br />• Tax campaigners issue warning over developing countries<br />• Rolling coverage of the G8 summit in Lough Erne</p>",2010-2013,5.373099757673668
politics/2013/aug/08/politics-live-readers-edition-thursday-8-august,Politics,https://www.theguardian.com/politics/2013/aug/08/politics-live-readers-edition-thursday-8-august,2013-08-08T07:45:00Z,Politics live: readers' edition - Thursday 8 August,"<p>Share breaking news, leave links to interesting articles online and chat about the day's political events in our open thread</p>",2010-2013,5.529005847953217
politics/blog/2013/aug/13/politics-live-readers-edition,Politics,https://www.theguardian.com/politics/blog/2013/aug/13/politics-live-readers-edition,2013-08-13T09:15:34Z,Politics live: readers' edition - Tuesday 13 August,"<p>Share breaking news, leave links to interesting articles online and chat about the week's political events in our open thread</p>",2010-2013,5.529005847953217
